21 81
-2.460257686010009e-02 -2.451665131185759e-02 0.000000000000000e+00
-2.509800033106487e-02 -2.350376429722655e-02 0.000000000000000e+00
-2.557957557494290e-02 -2.248374277230978e-02 0.000000000000000e+00
-2.604457640081594e-02 -2.145567599391149e-02 0.000000000000000e+00
-2.649372340281544e-02 -2.042021816648661e-02 0.000000000000000e+00
-2.692581638283155e-02 -1.937720131630800e-02 0.000000000000000e+00
-2.733943744116100e-02 -1.832645534879466e-02 0.000000000000000e+00
-2.773514347574872e-02 -1.726857185510259e-02 0.000000000000000e+00
-2.811102702571546e-02 -1.620326689269743e-02 0.000000000000000e+00
-2.846637425297965e-02 -1.513075935329409e-02 0.000000000000000e+00
-2.880126822063662e-02 -1.405152191303346e-02 0.000000000000000e+00
-2.911468609531881e-02 -1.296569928823248e-02 0.000000000000000e+00
-2.940447463619330e-02 -1.187322550773571e-02 0.000000000000000e+00
-2.967136684982807e-02 -1.077483811253656e-02 0.000000000000000e+00
-2.991459126282118e-02 -9.670879738543272e-03 0.000000000000000e+00
-3.013341444254321e-02 -8.561743854306336e-03 0.000000000000000e+00
-3.032632616387112e-02 -7.447747273626544e-03 0.000000000000000e+00
-3.049309483069212e-02 -6.329496843362931e-03 0.000000000000000e+00
-3.063365478545853e-02 -5.207615422230542e-03 0.000000000000000e+00
-3.074753814403654e-02 -4.082679963899018e-03 0.000000000000000e+00
-3.083434339384921e-02 -2.955300557466461e-03 0.000000000000000e+00
-3.089377449239124e-02 -1.826117335995350e-03 0.000000000000000e+00
-3.092506942372530e-02 -6.957839825270266e-04 0.000000000000000e+00
-3.092818250789453e-02 4.349830631496240e-04 0.000000000000000e+00
-3.090360180308771e-02 1.565485898945915e-03 0.000000000000000e+00
-3.085141837472335e-02 2.695049394024162e-03 0.000000000000000e+00
-3.077182414278104e-02 3.823010552087717e-03 0.000000000000000e+00
-3.066509825087929e-02 4.948725739586858e-03 0.000000000000000e+00
-3.053162623442433e-02 6.071580180054191e-03 0.000000000000000e+00
-3.037065869766749e-02 7.190805694710438e-03 0.000000000000000e+00
-3.018386317027905e-02 8.305971710108502e-03 0.000000000000000e+00
-2.997188532855979e-02 9.416583157201992e-03 0.000000000000000e+00
-2.973539173265905e-02 1.052218738671314e-02 0.000000000000000e+00
-2.947505237722317e-02 1.162237004042761e-02 0.000000000000000e+00
-2.919012185631931e-02 1.271637482104355e-02 0.000000000000000e+00
-2.888291280648819e-02 1.380422948451151e-02 0.000000000000000e+00
-2.855424826605032e-02 1.488568382804975e-02 0.000000000000000e+00
-2.820434279644640e-02 1.596033273574727e-02 0.000000000000000e+00
-2.783337613567560e-02 1.702774422828476e-02 0.000000000000000e+00
-2.744347304029700e-02 1.808819334157976e-02 0.000000000000000e+00
-2.703476516440142e-02 1.914133593974998e-02 0.000000000000000e+00
-2.660738431918443e-02 2.018680466908550e-02 0.000000000000000e+00
-2.616357849789301e-02 2.122511640045146e-02 0.000000000000000e+00
-2.570237296738310e-02 2.225552222154245e-02 0.000000000000000e+00
-2.522584248412220e-02 2.327855889862919e-02 0.000000000000000e+00
-2.473403192614777e-02 2.429394551618351e-02 0.000000000000000e+00
-2.422775810400317e-02 2.530174687917238e-02 0.000000000000000e+00
-2.370778777657839e-02 2.630205192232651e-02 0.000000000000000e+00
-2.317461591151778e-02 2.729482875368096e-02 0.000000000000000e+00
-2.262883924082807e-02 2.828012694771677e-02 0.000000000000000e+00
-2.207145948813401e-02 2.925822454864296e-02 0.000000000000000e+00
-2.150212706847059e-02 3.022870399788665e-02 0.000000000000000e+00
